name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Jared Goff,0.72,38.07,8.05,0.07,0.01,2.02,2.05,1.4,0.0,0.0,0.0,0.0,0.0,0.1,10,DET,39.93,2.0,0.0,302.44,2.71,0.38,2.88,0.0,0.0,0.0,0.0,0.21,32.36,1.45,0.0,255.96,2.93,0.46,2.25,0.0,0.0,0.0,0.0,0.0
Jason Brownlee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,KAN,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jauan Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,0.61,6.95,0.04,0.02,9,SFO,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,4.22,48.41,0.3,0.13,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,4.18,49.58,0.27,0.0
Javonte Williams,0.0,0.0,0.0,0.0,0.0,0.0,6.47,3.33,0.09,4.18,0.68,2.76,0.0,0.0,9,DAL,0.0,6.47,4.32,0.0,0.0,0.0,21.27,0.61,2.99,12.43,0.0,0.0,0.0,7.84,4.43,0.0,0.0,0.0,23.27,0.97,3.15,13.67,0.0,0.0
Jaxon Smith-Njigba,0.0,0.0,0.0,0.0,0.0,0.0,0.42,5.14,0.0,9.21,0.74,9.32,0.04,0.04,9,SEA,0.0,0.42,9.5,0.0,0.0,0.0,2.22,0.0,6.91,89.43,0.46,0.44,0.0,0.29,9.28,0.0,0.0,0.0,1.16,0.0,6.84,85.96,0.36,0.01
Jayden Daniels,0.68,33.49,6.91,0.07,0.02,3.67,10.43,6.85,0.02,0.0,0.0,0.0,0.0,0.02,9,WAS,34.0,9.75,0.0,244.7,2.36,0.67,66.65,0.19,0.0,0.0,0.0,0.15,32.81,9.53,0.0,223.68,2.57,0.85,70.38,0.08,0.0,0.0,0.0,0.0
Jayden Higgins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.67,10.67,0.0,0.0,1,HOU,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,1.86,29.19,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,2.07,32.98,0.0,0.0
Jayden Reed,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.89,0.0,4.15,0.62,7.98,0.1,0.03,9,GNB,0.0,0.68,3.72,0.0,0.0,0.0,6.27,0.0,2.34,29.42,0.43,0.15,0.0,0.49,3.01,0.0,0.0,0.0,4.89,0.0,1.92,24.9,0.46,0.0
Jaylen Waddle,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-1.0,0.0,5.66,0.74,9.1,0.02,0.0,8,MIA,0.0,0.05,5.65,0.0,0.0,0.0,-0.05,0.0,4.09,50.9,0.11,0.0,0.0,0.07,5.99,0.0,0.0,0.0,-0.09,0.0,4.23,49.47,0.13,0.0
Jaylen Warren,0.0,0.0,0.0,0.0,0.0,0.0,9.28,4.47,0.01,3.89,0.82,7.63,0.05,0.01,9,PIT,0.0,9.27,3.89,0.0,0.0,0.0,41.83,0.08,3.24,30.1,0.19,0.11,0.0,10.3,3.93,0.0,0.0,0.0,41.17,0.11,3.37,32.05,0.22,0.0
Jaylen Wright,0.0,0.0,0.0,0.0,0.0,0.0,3.39,2.71,0.0,1.09,0.6,1.68,0.0,0.04,6,MIA,0.0,3.4,1.09,0.0,0.0,0.0,9.6,0.0,0.64,1.81,0.0,0.19,0.0,4.65,1.15,0.0,0.0,0.0,17.18,0.0,0.66,1.76,0.0,0.0
Jaylin Lane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,5.5,0.0,0.0,1,WAS,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,1.03,11.63,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.99,10.63,0.0,0.0
Jaylin Noel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,3.5,0.0,0.0,1,HOU,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.92,6.38,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,1.03,7.21,0.0,0.0
Jeremy McNichols,0.0,0.0,0.0,0.0,0.0,0.0,2.98,4.41,0.01,1.57,0.78,2.18,0.0,0.0,9,WAS,0.0,2.79,1.59,0.0,0.0,0.0,12.26,0.03,1.26,3.62,0.0,0.0,0.0,2.72,1.54,0.0,0.0,0.0,12.95,0.01,1.21,3.31,0.0,0.0
Jeremy Ruckert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,4.89,0.0,0.0,8,NYJ,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,1.31,9.5,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,1.48,10.55,0.0,0.0
Jermaine Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.23,2.09,0.0,0.0,2,CIN,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,1.01,9.16,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.0,0.0,1.17,11.79,0.0,0.0
Jerome Ford,0.0,0.0,0.0,0.0,0.0,0.0,7.34,5.36,0.04,2.11,0.93,6.8,0.0,0.0,9,CLE,0.0,7.93,2.09,0.0,0.0,0.0,42.47,0.31,1.95,14.09,0.0,0.0,0.0,6.66,2.13,0.0,0.0,0.0,32.29,0.24,1.95,14.27,0.0,0.0
Jerry Jeudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,0.7,9.04,0.03,0.0,9,CLE,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,6.99,89.33,0.29,0.0,0.0,0.0,10.16,0.0,0.0,0.0,0.0,0.0,7.01,90.47,0.17,0.0
Joe Burrow,0.71,37.75,7.63,0.07,0.01,3.53,2.1,5.11,0.08,0.0,0.0,0.0,0.0,0.33,9,CIN,38.26,2.09,0.0,286.78,2.45,0.36,10.95,0.15,0.0,0.0,0.0,0.68,46.09,2.01,0.0,369.27,2.74,0.38,9.56,0.19,0.0,0.0,0.0,0.01
Joe Flacco,0.69,40.41,7.42,0.04,0.05,2.23,1.41,2.19,0.0,0.0,0.0,0.0,0.0,0.39,4,CLE,40.01,1.52,0.0,294.54,1.55,2.01,3.33,0.0,0.0,0.0,0.0,0.62,40.82,1.28,0.0,298.27,0.93,2.93,2.53,0.0,0.0,0.0,0.0,0.01
John Bates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.7,7.32,0.0,0.11,5,WAS,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.86,9.21,0.0,0.1,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.83,8.42,0.0,0.0
John FitzPatrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2,GNB,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.91,1.78,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.75,1.5,0.0,0.0
John Metchie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.63,6.22,0.01,0.06,7,PHI,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,2.99,29.13,0.05,0.25,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,2.87,30.04,0.04,0.0
Johnny Mundt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.59,5.45,0.11,0.0,7,JAX,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.68,6.33,0.12,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.75,6.85,0.11,0.0
Johnny Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,0.53,0.11,0.0,4,PHI,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.11,0.53,0.11,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.11,0.55,0.1,0.0
Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,23.47,4.69,0.04,2.12,0.67,4.5,0.05,0.01,9,IND,0.0,23.23,2.05,0.0,0.0,0.0,114.41,0.93,1.37,9.0,0.1,0.25,0.0,18.31,1.85,0.0,0.0,0.0,89.48,0.33,1.19,8.09,0.12,0.0
