name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
A.J. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.68,9.1,0.07,0.0,10,PHI,0.0,0.0,6.88,0.0,0.0,0.0,0.0,0.0,4.71,62.29,0.48,0.0,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0,3.72,50.61,0.44,0.0
AJ Barner,0.0,0.0,0.0,0.0,0.0,0.0,0.23,2.0,0.0,2.45,0.66,4.03,0.12,0.0,8,SEA,0.0,0.23,2.53,0.0,0.0,0.0,0.47,0.0,1.64,10.29,0.37,0.0,0.0,0.22,2.58,0.0,0.0,0.0,0.47,0.0,1.62,10.54,0.33,0.0
AJ Dillon,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,1,PHI,0.0,2.76,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,10.07,0.0,0.0,0.0,0.0,0.0
Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,13.62,4.17,0.02,3.58,0.78,6.61,0.08,0.02,10,MIN,0.0,12.65,3.69,0.0,0.0,0.0,52.82,0.26,2.81,23.28,0.29,0.38,0.0,16.33,3.6,0.0,0.0,0.0,69.2,0.41,2.71,23.56,0.25,0.01
Aaron Rodgers,0.65,31.88,7.1,0.06,0.01,2.67,1.45,5.45,0.0,0.0,0.0,0.0,0.0,0.18,9,PIT,31.87,1.45,0.0,229.56,1.84,0.37,7.97,0.0,0.0,0.0,0.0,0.23,38.39,1.39,0.0,295.59,2.06,0.39,6.95,0.0,0.0,0.0,0.0,0.0
Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,0.77,10.33,0.11,0.0,7,MIN,0.0,0.0,6.17,0.0,0.0,0.0,0.0,0.0,4.64,60.78,0.67,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,4.47,61.5,0.59,0.0
Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.62,4.6,0.09,0.0,9,DEN,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.99,7.35,0.12,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.86,7.09,0.1,0.0
Adonai Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-6.4,0.0,2.71,0.5,7.51,0.0,0.06,9,IND,0.0,0.2,2.62,0.0,0.0,0.0,-1.33,0.0,1.3,19.21,0.0,0.17,0.0,0.22,2.13,0.0,0.0,0.0,-1.47,0.0,1.13,14.52,0.0,0.0
Aidan O'Connell,0.61,32.43,7.22,0.03,0.01,1.64,4.43,0.99,0.05,0.0,0.0,0.0,0.0,0.09,4,LVR,31.02,4.8,0.0,223.01,0.94,0.37,4.87,0.29,0.0,0.0,0.0,0.49,33.64,5.36,0.0,249.61,1.06,0.83,5.01,0.25,0.0,0.0,0.0,0.01
Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.35,4.0,0.0,1.3,0.67,2.83,0.0,0.0,3,MIA,0.0,0.35,1.3,0.0,0.0,0.0,1.46,0.0,0.85,3.64,0.0,0.0,0.0,0.25,1.05,0.0,0.0,0.0,1.14,0.0,0.7,3.08,0.0,0.0
