name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
A.J. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,0.68,9.27,0.07,0.0,9,PHI,0.0,0.0,7.97,0.0,0.0,0.0,0.0,0.0,5.51,73.88,0.54,0.0,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,5.48,69.83,0.41,0.0
AJ Barner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.68,4.87,0.14,0.0,7,SEA,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,1.81,13.32,0.49,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,1.83,14.05,0.57,0.0
Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.3,0.02,3.67,0.75,5.12,0.03,0.02,9,MIN,0.0,14.37,3.83,0.0,0.0,0.0,61.9,0.3,2.78,18.65,0.11,0.44,0.0,12.22,3.82,0.0,0.0,0.0,53.83,0.12,2.83,19.01,0.17,0.01
Aaron Rodgers,0.64,32.45,6.81,0.04,0.02,2.35,1.53,6.35,0.0,0.0,0.0,0.0,0.0,0.21,8,PIT,33.79,1.63,0.0,238.94,1.35,0.76,10.45,0.0,0.0,0.0,0.0,0.28,37.59,1.56,0.0,237.32,1.33,0.97,9.52,0.0,0.0,0.0,0.0,0.01
Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.8,10.67,0.11,0.0,6,MIN,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,5.87,77.0,0.83,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,5.97,78.49,1.21,0.0
Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.56,4.75,0.1,0.0,8,DEN,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.96,8.15,0.15,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,1.02,8.72,0.19,0.0
Adonai Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-6.0,0.0,2.89,0.43,7.23,0.0,0.07,8,IND,0.0,0.26,2.95,0.0,0.0,0.0,-1.62,0.0,1.26,20.52,0.0,0.21,0.0,0.22,3.17,0.0,0.0,0.0,-1.18,0.0,1.36,23.57,0.0,0.0
Aidan O'Connell,0.61,32.34,7.25,0.03,0.01,1.66,4.41,0.99,0.05,0.0,0.0,0.0,0.0,0.09,4,LVR,31.08,4.89,0.0,224.31,0.98,0.36,4.95,0.28,0.0,0.0,0.0,0.49,33.23,5.29,0.0,225.58,1.15,0.5,5.76,0.14,0.0,0.0,0.0,0.01
Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0,0.0,0.8,1.0,7.5,0.0,0.0,2,MIA,0.0,0.58,0.81,0.0,0.0,0.0,2.4,0.0,0.8,6.03,0.0,0.0,0.0,0.62,0.75,0.0,0.0,0.0,2.54,0.0,0.71,5.3,0.0,0.0
Alec Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.48,9.65,0.09,0.0,7,IND,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,2.83,55.15,0.51,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,3.05,63.36,0.53,0.0
Alexander Mattison,0.0,0.0,0.0,0.0,0.0,0.0,9.15,2.91,0.03,4.15,0.54,3.98,0.0,0.02,5,MIA,0.0,8.92,4.21,0.0,0.0,0.0,26.67,0.28,2.23,16.61,0.0,0.28,0.0,9.45,3.88,0.0,0.0,0.0,28.21,0.17,1.98,14.58,0.0,0.0
Allen Lazard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.31,3.47,0.0,0.0,4,NYJ,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.98,11.06,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,1.05,11.74,0.0,0.0
Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,15.67,3.87,0.0,5.43,0.82,6.88,0.05,0.0,6,NOR,0.0,14.87,5.53,0.0,0.0,0.0,55.4,0.0,4.51,37.67,0.25,0.0,0.0,18.18,5.04,0.0,0.0,0.0,68.25,0.0,4.39,31.73,0.22,0.0
Amon-Ra St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.91,0.0,9.57,0.81,9.21,0.08,0.02,9,DET,0.0,0.19,9.88,0.0,0.0,0.0,0.93,0.0,7.62,85.23,0.77,0.22,0.0,0.21,8.27,0.0,0.0,0.0,1.14,0.0,6.58,87.23,0.65,0.0
Andrei Iosivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.69,9.97,0.09,0.0,8,CIN,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,2.68,38.4,0.32,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,2.63,41.27,0.27,0.0
Andrew Beck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,NYJ,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Ogletree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.39,5.15,0.0,0.0,5,IND,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.48,6.17,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.52,7.09,0.0,0.0
Anthony Gould,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,1,IND,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.01,22.59,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.09,25.95,0.0,0.0
Anthony Richardson,0.5,25.22,6.39,0.03,0.05,1.03,8.78,6.12,0.11,0.25,1.0,-1.0,0.0,0.04,5,IND,25.75,8.73,0.26,158.25,0.74,1.21,55.94,0.87,0.25,-0.25,0.0,0.34,27.67,7.28,0.27,181.82,0.77,1.41,40.68,0.65,0.27,-0.28,0.0,0.01
Antonio Gibson,0.0,0.0,0.0,0.0,0.0,0.0,7.89,4.91,0.02,1.28,0.75,7.03,0.0,0.02,8,NWE,0.0,7.76,1.28,0.0,0.0,0.0,37.42,0.16,0.93,8.77,0.0,0.21,0.0,6.26,1.55,0.0,0.0,0.0,28.92,0.05,1.13,9.86,0.0,0.0
Ashton Dulin,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.86,0.0,0.9,0.0,0.0,0.0,0.0,3,IND,0.0,0.7,0.92,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.99,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,0.0,0.0,0.0,0.0,0.0,0.0,8.14,3.11,0.07,4.64,0.78,7.22,0.0,0.05,4,WAS,0.0,8.03,4.92,0.0,0.0,0.0,25.05,0.54,3.84,36.26,0.0,0.5,0.0,7.83,5.31,0.0,0.0,0.0,21.19,0.43,4.54,38.32,0.0,0.01
Austin Hooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.93,10.89,0.06,0.03,8,NWE,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,3.32,39.07,0.21,0.13,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,4.03,43.93,0.21,0.0
Baker Mayfield,0.74,32.46,8.82,0.08,0.03,2.52,2.44,7.57,0.04,0.0,0.0,0.0,0.0,0.39,8,TAM,33.8,2.23,0.0,300.89,2.43,1.03,15.28,0.09,0.0,0.0,0.0,0.83,34.79,2.31,0.0,313.89,2.81,2.34,14.91,0.08,0.0,0.0,0.0,0.01
Ben Sims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1,GNB,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.97,1.86,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.86,1.68,0.0,0.0
Ben Sinnott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.13,0.0,0.0,3,WAS,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,1.06,6.63,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,1.25,7.01,0.0,0.0
Ben Skowronek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.0,14.31,0.0,0.0,4,PIT,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,1.43,20.58,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,1.54,20.44,0.0,0.0
Ben VanSumeren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,PHI,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0
Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,20.41,4.66,0.06,3.59,0.82,4.64,0.0,0.01,8,ATL,0.0,19.87,3.53,0.0,0.0,0.0,92.31,1.21,2.94,16.27,0.0,0.24,0.0,18.5,3.99,0.0,0.0,0.0,77.38,1.01,3.27,18.13,0.0,0.0
Blake Corum,0.0,0.0,0.0,0.0,0.0,0.0,4.37,3.17,0.0,0.57,0.74,5.45,0.0,0.0,9,LAR,0.0,4.39,0.57,0.0,0.0,0.0,14.17,0.0,0.42,3.29,0.0,0.0,0.0,5.1,0.47,0.0,0.0,0.0,16.55,0.0,0.38,2.79,0.0,0.0
Blake Whiteheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42,6.25,0.0,0.0,5,CLE,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.41,6.02,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.4,5.68,0.0,0.0
Bo Nix,0.68,34.94,6.73,0.07,0.03,1.47,4.53,3.97,0.0,0.04,1.0,2.0,1.0,0.1,8,DEN,35.5,4.89,0.04,237.23,2.16,0.96,19.39,0.0,0.04,0.08,0.04,0.52,34.24,5.2,0.04,253.82,2.71,1.69,18.93,0.0,0.04,0.09,0.04,0.01
Braelon Allen,0.0,0.0,0.0,0.0,0.0,0.0,4.86,3.51,0.0,1.24,0.85,7.02,0.0,0.0,8,NYJ,0.0,4.87,1.18,0.0,0.0,0.0,17.33,0.0,0.99,8.28,0.0,0.0,0.0,4.55,1.17,0.0,0.0,0.0,16.56,0.0,1.06,8.79,0.0,0.0
Brandin Cooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.55,6.39,0.06,0.0,5,NOR,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,2.93,33.82,0.29,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,2.85,28.49,0.26,0.0
