Date,Week,away_team,home_team
9/4/2025,1,DAL,PHI
9/5/2024,1,KAN,LAC
9/7/2025,1,HOU,LAR
9/7/2025,1,TAM,ATL
9/7/2025,1,PIT,NYJ
9/7/2025,1,MIA,IND
9/7/2025,1,CAR,JAX
9/7/2025,1,NYG,WAS
9/7/2025,1,ARI,NOR
9/7/2025,1,CIN,CLE
9/7/2025,1,LVR,NWE
9/7/2025,1,SFO,SEA
9/7/2025,1,TEN,DEN
9/7/2025,1,DET,GNB
9/7/2025,1,BAL,BUF
9/8/2025,1,MIN,CHI
