,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
34,Brandon Allen,8.5,15.2,99.5,0.5,1.2,1.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,2,TEN
35,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,49.39999999999999,213.39999999999998,1.2,13.4,11.5,87.7,0.3999999999999999,1.4,7,NYJ
36,Brenton Strange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.400000000000002,12.9,111.2,0.0,0.9,7,JAX
37,Brevyn Spann-Ford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.3999999999999995,30.4,0.0,0.0,3,DAL
38,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,57.3,227.1,0.9999999999999999,9.100000000000001,7.7,54.6,0.0,1.8,6,SFO
39,Brian Thomas,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.2,0.0,51.8,34.1,440.4,4.1,0.0,8,JAX
40,Brock Bowers,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999997,1.0999999999999996,0.0,48.4,35.6,390.8,1.1999999999999997,0.0,8,LVR
41,Brock Purdy,98.1,146.1,1225.6999999999998,7.199999999999999,4.1,10.700000000000001,15.299999999999999,69.0,1.4,0.0,0.0,0.0,0.0,0.8999999999999999,7,SFO
42,Brock Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.1999999999999997,22.0,0.3999999999999999,0.0,5,DET
43,Bryce Oliver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.5,37.699999999999996,0.0,0.0,4,TEN
44,Bryce Young,92.6,155.4,1036.4,6.8999999999999995,2.5,15.3,18.5,130.1,2.3,0.0,0.0,0.0,0.0,4.1,8,CAR
45,Bucky Irving,0.0,0.0,0.0,0.0,0.0,0.0,75.5,431.8,2.3,15.299999999999999,15.299999999999999,163.9,0.0,0.5,8,TAM
46,C.J. Stroud,92.39999999999999,153.3,988.6999999999999,5.3,4.8,16.4,15.2,67.8,0.0,0.19999999999999996,0.0,0.0,0.0,1.2999999999999998,8,HOU
