name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
A.J. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.68,9.27,0.07,0.0,9,PHI,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,3.41,45.68,0.34,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,3.45,43.68,0.21,0.0
AJ Barner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.68,4.87,0.14,0.0,7,SEA,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,1.07,7.84,0.27,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,1.18,8.94,0.37,0.0
Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.3,0.02,2.2,0.75,5.12,0.03,0.02,9,MIN,0.0,8.78,2.32,0.0,0.0,0.0,38.29,0.18,1.69,11.33,0.07,0.27,0.0,7.72,2.39,0.0,0.0,0.0,34.62,0.08,1.76,11.4,0.09,0.0
Aaron Rodgers,0.64,19.88,6.81,0.04,0.02,11.5,0.94,6.35,0.0,0.0,0.0,0.0,0.0,0.21,8,PIT,20.38,0.98,0.0,148.24,0.87,0.38,6.34,0.0,0.0,0.0,0.0,0.16,21.28,0.92,0.0,138.4,0.85,0.43,5.68,0.0,0.0,0.0,0.0,0.0
Adam Thielen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.8,10.67,0.11,0.0,6,MIN,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,4.47,58.51,0.61,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,4.64,58.84,0.84,0.0
Adam Trautman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,4.75,0.1,0.0,8,DEN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,4.85,0.09,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.54,4.75,0.12,0.0
Adonai Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-6.0,0.0,1.7,0.43,7.23,0.0,0.07,8,IND,0.0,0.15,1.7,0.0,0.0,0.0,-0.91,0.0,0.72,11.62,0.0,0.13,0.0,0.13,2.07,0.0,0.0,0.0,-0.76,0.0,0.87,14.82,0.0,0.0
Aidan O'Connell,0.61,25.88,7.25,0.03,0.01,5.3,3.52,0.99,0.05,0.0,0.0,0.0,0.0,0.09,4,LVR,24.17,3.78,0.0,178.93,0.82,0.25,3.81,0.22,0.0,0.0,0.0,0.36,23.54,3.84,0.0,165.18,0.89,0.23,4.21,0.11,0.0,0.0,0.0,0.0
Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.45,4.0,0.0,0.6,1.0,7.5,0.0,0.0,2,MIA,0.0,0.44,0.59,0.0,0.0,0.0,1.81,0.0,0.58,4.45,0.0,0.0,0.0,0.48,0.55,0.0,0.0,0.0,2.04,0.0,0.54,3.95,0.0,0.0
Alec Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.48,9.65,0.09,0.0,7,IND,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,1.49,28.83,0.26,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,1.81,36.77,0.29,0.0
