name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
John Metchie,HOU,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.7,0.65,6.86,0.03,0.03,10,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,2.39,25.02,0.11,0.11,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,2.39,25.02,0.11,0.11
Johnny Mundt,MIN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.08,0.7,5.26,0.07,0.0,13,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,1.48,10.97,0.15,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,1.48,10.97,0.15,0.0
Johnny Wilson,PHI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.67,0.33,2.53,0.07,0.0,9,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.55,4.14,0.11,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.55,4.14,0.11,0.0
Jonathan Taylor,IND,0.0,0.0,0.0,0.0,0.0,0,21.64,4.72,0.04,2.21,0.58,4.39,0.03,0.01,14,0.0,21.69,2.22,0.0,0.0,0.0,104.7,0.88,1.3,9.72,0.07,0.24,0.0,21.69,2.22,0.0,0.0,0.0,104.7,0.88,1.3,9.72,0.07,0.24
Jonathon Brooks,CAR,0.0,0.0,0.0,0.0,0.0,0,3.0,2.44,0.0,1.0,1.0,7.67,0.0,0.0,3,0.0,3.03,0.99,0.0,0.0,0.0,7.28,0.0,0.98,7.61,0.0,0.0,0.0,3.03,0.99,0.0,0.0,0.0,7.28,0.0,0.98,7.61,0.0,0.0
Jonnu Smith,MIA,0.0,0.0,0.0,0.0,0.0,0,0.12,-0.5,0.0,6.53,0.79,7.96,0.07,0.02,17,0.0,0.12,6.7,0.0,0.0,0.0,-0.06,0.0,5.28,53.3,0.45,0.13,0.0,0.12,6.7,0.0,0.0,0.0,-0.06,0.0,5.28,53.3,0.45,0.13
Jordan Love,GNB,0.63,28.33,7.97,0.06,0.03,14,1.67,3.32,0.04,0.0,0.0,0.0,0.0,0.16,15,28.15,1.7,0.0,223.35,1.84,0.74,5.6,0.07,0.0,0.0,0.0,0.28,28.15,1.7,0.0,223.35,1.84,0.74,5.6,0.07,0.0,0.0,0.0,0.28
Jordan Whittington,LAR,0.0,0.0,0.0,0.0,0.0,0,0.33,6.0,0.0,4.67,0.79,10.46,0.0,0.0,6,0.0,0.34,4.67,0.0,0.0,0.0,2.01,0.0,3.7,49.74,0.0,0.0,0.0,0.34,4.67,0.0,0.0,0.0,2.01,0.0,3.7,49.74,0.0,0.0
Josh Allen,BUF,0.64,30.19,7.72,0.06,0.01,14,6.38,5.21,0.12,0.0,0.0,70000.0,10000.0,0.05,16,30.47,6.33,0.0,237.31,1.86,0.33,33.78,0.75,0.0,0.0,0.0,0.33,30.47,6.33,0.0,237.31,1.86,0.33,33.78,0.75,0.0,0.0,0.0,0.33
Josh Downs,IND,0.0,0.0,0.0,0.0,0.0,0,0.07,12.0,0.0,7.64,0.67,7.5,0.05,0.0,14,0.0,0.07,7.67,0.0,0.0,0.0,0.86,0.0,5.17,57.44,0.39,0.0,0.0,0.07,7.67,0.0,0.0,0.0,0.86,0.0,5.17,57.44,0.39,0.0
Josh Jacobs,GNB,0.0,0.0,0.0,0.0,0.0,0,17.71,4.42,0.05,2.53,0.84,7.95,0.02,0.01,17,0.0,18.03,2.51,0.0,0.0,0.0,79.12,0.87,2.14,19.9,0.05,0.21,0.0,18.03,2.51,0.0,0.0,0.0,79.12,0.87,2.14,19.9,0.05,0.21
Josh Johnson,BAL,0.67,0.75,5.67,0.0,0.0,1,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4,0.75,1.02,0.0,4.28,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.75,1.02,0.0,4.28,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0
Josh Palmer,LAC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.33,0.6,8.98,0.02,0.0,15,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,2.54,38.36,0.08,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,2.54,38.36,0.08,0.0
Josh Reynolds,DEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.8,0.63,9.63,0.05,0.0,5,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,2.34,36.07,0.18,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,2.34,36.07,0.18,0.0
Josh Reynolds,JAX,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.67,0.2,2.2,0.0,0.0,3,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.34,3.79,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.34,3.79,0.0,0.0
