name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Jacory Croskey-Merritt,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.2,0.1,1.0,0.0,0.0,0.0,0.0,1,WAS,0.0,8.72,0.96,0.0,0.0,0.0,71.12,0.93,0.0,0.0,0.0,0.0,0.0,6.31,0.84,0.0,0.0,0.0,52.26,0.34,0.0,0.0,0.0,0.0
Jahan Dotson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.76,11.72,0.0,0.0,8,PHI,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.67,10.24,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.59,8.74,0.0,0.0
Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,7.93,4.79,0.05,3.04,0.88,7.28,0.04,0.0,10,DET,0.0,8.25,3.27,0.0,0.0,0.0,41.89,0.39,2.78,22.36,0.12,0.0,0.0,9.12,3.81,0.0,0.0,0.0,49.13,0.73,3.2,26.36,0.12,0.0
Jake Bobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.95,6.8,0.0,0.0,4,SEA,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.51,3.7,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.61,4.21,0.0,0.0
Jake Browning,0.0,0.0,0.0,0.0,0.0,0.0,0.45,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,CIN,0.0,0.43,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
Jake Ferguson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.66,4.61,0.0,0.04,8,DAL,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,2.28,16.18,0.0,0.1,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,2.33,18.44,0.0,0.0
Jake Haener,0.4,2.33,4.9,0.0,0.1,2.7,0.63,1.95,0.0,0.0,0.0,0.0,0.0,0.0,3,NOR,2.19,0.59,0.0,11.19,0.0,0.24,1.13,0.0,0.0,0.0,0.0,0.0,2.62,0.73,0.0,12.6,0.0,0.36,1.23,0.0,0.0,0.0,0.0,0.0
Jake Tonges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.33,0.0,1,SFO,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,2.85,14.3,1.02,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,2.14,10.24,0.56,0.0
Jakobi Meyers,0.0,0.0,0.0,0.0,0.0,0.7,0.03,20.0,0.0,5.42,0.63,7.83,0.02,0.0,9,LVR,0.0,0.03,4.98,0.0,0.0,0.0,0.64,0.0,3.19,39.53,0.11,0.0,0.0,0.02,3.69,0.0,0.0,0.0,0.54,0.0,1.99,26.52,0.08,0.0
Jaleel McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,3.69,5.64,0.0,0.8,0.84,2.93,0.0,0.0,7,DEN,0.0,3.72,0.79,0.0,0.0,0.0,20.84,0.0,0.66,2.34,0.0,0.0,0.0,3.08,0.63,0.0,0.0,0.0,19.02,0.0,0.53,1.78,0.0,0.0
Jalen Coker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.59,10.65,0.06,0.0,5,CAR,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,1.39,25.75,0.15,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,0.0,1.72,31.22,0.26,0.0
Jalen Hurts,0.71,10.48,7.31,0.04,0.0,8.8,5.19,4.74,0.1,0.0,0.0,0.0,0.0,0.04,9,PHI,10.85,5.09,0.0,79.65,0.45,0.0,22.08,0.4,0.0,0.0,0.0,0.18,9.82,3.71,0.0,68.0,0.28,0.0,17.72,0.25,0.0,0.0,0.0,0.0
Jalen McMillan,0.0,0.0,0.0,0.0,0.0,0.0,0.15,9.0,0.0,3.47,0.76,9.44,0.22,0.0,6,TAM,0.0,0.13,3.28,0.0,0.0,0.0,1.06,0.0,2.49,31.45,0.66,0.0,0.0,0.17,3.62,0.0,0.0,0.0,1.2,0.0,2.9,38.15,1.02,0.0
Jalen Milroe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SEA,0.0,1.05,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0
Jalen Nailor,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-7.0,0.0,1.43,0.64,9.48,0.11,0.0,9,MIN,0.0,0.02,1.48,0.0,0.0,0.0,-0.13,0.0,0.93,13.55,0.16,0.0,0.0,0.01,1.23,0.0,0.0,0.0,-0.12,0.0,0.8,11.61,0.17,0.0
Jalen Tolbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.52,5.08,0.16,0.0,10,DAL,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.97,9.67,0.27,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.99,11.02,0.3,0.0
Jalin Hyatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.57,4.13,0.0,0.0,4,NYG,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.63,4.58,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.78,5.61,0.0,0.0
Jamari Thrash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.49,3.15,0.0,0.0,6,CLE,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.37,2.37,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.36,2.2,0.0,0.0
